"","Date.Time","Tmp_H1","Tmp_H2"
"445",2018-08-11 10:45:00,"29.8","30.0"
"446",2018-08-11 10:50:00,"29.8","29.7"
"447",2018-08-11 10:55:00,"30.0","29.8"
"448",2018-08-11 11:00:00,"29.9","30.1"
"449",2018-08-11 11:05:00,"29.8","30.0"
"450",2018-08-11 11:10:00,"29.9","29.8"
"451",2018-08-11 11:15:00,"30.0","29.8"
"452",2018-08-11 11:20:00,"29.9","30.0"
"453",2018-08-11 11:25:00,"29.7","29.8"
"454",2018-08-11 11:30:00,"29.8","29.8"
"455",2018-08-11 11:35:00,"30.0","30.0"
"456",2018-08-11 11:40:00,"29.8","29.9"
"457",2018-08-11 11:45:00,"29.8","29.8"
"458",2018-08-11 11:50:00,"29.9","29.9"
"459",2018-08-11 11:55:00,"29.9","30.0"
"460",2018-08-11 12:00:00,"29.8","29.8"
"461",2018-08-11 12:05:00,"29.8","29.8"
"462",2018-08-11 12:10:00,"30.0","29.9"
"463",2018-08-11 12:15:00,"29.8","29.8"
"464",2018-08-11 12:20:00,"29.8","29.9"
"465",2018-08-11 12:25:00,"30.0","30.0"
"466",2018-08-11 12:30:00,"30.0","29.8"
"467",2018-08-11 12:35:00,"29.8","29.8"
"468",2018-08-11 12:40:00,"29.8","30.0"
"469",2018-08-11 12:45:00,"30.0","29.8"
"470",2018-08-11 12:50:00,"30.0","29.8"
"471",2018-08-11 12:55:00,"29.8","30.0"
"472",2018-08-11 13:00:00,"29.7","29.9"
"473",2018-08-11 13:05:00,"30.0","29.8"
"474",2018-08-11 13:10:00,"30.0","30.0"
"475",2018-08-11 13:15:00,"29.9","30.0"
"476",2018-08-11 13:20:00,"29.8","29.8"
"477",2018-08-11 13:25:00,"29.9","29.9"
"478",2018-08-11 13:30:00,"30.0","30.0"
"479",2018-08-11 13:35:00,"30.0","29.9"
"480",2018-08-11 13:40:00,"29.8","29.8"
"481",2018-08-11 13:45:00,"29.9","30.0"
"482",2018-08-11 13:50:00,"30.0","30.0"
"483",2018-08-11 13:55:00,"29.9","29.8"
"484",2018-08-11 14:00:00,"29.8","29.9"
"485",2018-08-11 14:05:00,"29.9","30.0"
"486",2018-08-11 14:10:00,"30.0","29.8"
"487",2018-08-11 14:15:00,"29.9","29.9"
"488",2018-08-11 14:20:00,"29.8","30.0"
"489",2018-08-11 14:25:00,"29.9","29.8"
"490",2018-08-11 14:30:00,"30.0","29.8"
"491",2018-08-11 14:35:00,"29.9","29.9"
"492",2018-08-11 14:40:00,"29.8","29.9"
"493",2018-08-11 14:45:00,"30.0","30.1"
"494",2018-08-11 14:50:00,"30.1","30.1"
"495",2018-08-11 14:55:00,"30.0","30.0"
"496",2018-08-11 15:00:00,"29.8","29.8"
"497",2018-08-11 15:05:00,"29.9","29.9"
"498",2018-08-11 15:10:00,"30.1","30.1"
"499",2018-08-11 15:15:00,"30.1","30.0"
"500",2018-08-11 15:20:00,"29.9","29.8"
"501",2018-08-11 15:25:00,"29.8","29.8"
"502",2018-08-11 15:30:00,"30.0","30.0"
"503",2018-08-11 15:35:00,"30.0","30.0"
"504",2018-08-11 15:40:00,"29.9","29.9"
"505",2018-08-11 15:45:00,"29.8","29.8"
"506",2018-08-11 15:50:00,"30.1","30.0"
"507",2018-08-11 15:55:00,"30.1","30.0"
"508",2018-08-11 16:00:00,"29.8","29.8"
"509",2018-08-11 16:05:00,"29.9","29.9"
"510",2018-08-11 16:10:00,"30.0","30.0"
"511",2018-08-11 16:15:00,"30.0","29.9"
"512",2018-08-11 16:20:00,"29.8","29.8"
"513",2018-08-11 16:25:00,"30.0","30.0"
"514",2018-08-11 16:30:00,"30.0","30.0"
"515",2018-08-11 16:35:00,"29.9","29.8"
"516",2018-08-11 16:40:00,"29.8","29.8"
"517",2018-08-11 16:45:00,"30.1","30.0"
"518",2018-08-11 16:50:00,"30.0","29.8"
"519",2018-08-11 16:55:00,"29.8","29.7"
"520",2018-08-11 17:00:00,"29.8","29.8"
"521",2018-08-11 17:05:00,"30.1","30.0"
"522",2018-08-11 17:10:00,"30.1","29.9"
"523",2018-08-11 17:15:00,"29.8","29.8"
"524",2018-08-11 17:20:00,"29.8","29.8"
"525",2018-08-11 17:25:00,"30.0","30.0"
"526",2018-08-11 17:30:00,"30.0","29.8"
"527",2018-08-11 17:35:00,"29.8","29.7"
"528",2018-08-11 17:40:00,"30.0","29.9"
"529",2018-08-11 17:45:00,"30.0","29.9"
"530",2018-08-11 17:50:00,"29.9","29.7"
"531",2018-08-11 17:55:00,"29.8","29.8"
"532",2018-08-11 18:00:00,"30.0","29.9"
"533",2018-08-11 18:05:00,"29.9","29.8"
"534",2018-08-11 18:10:00,"29.8","29.7"
"535",2018-08-11 18:15:00,"30.0","29.9"
"536",2018-08-11 18:20:00,"30.1","29.9"
"537",2018-08-11 18:25:00,"30.0","29.7"
"538",2018-08-11 18:30:00,"29.7","29.7"
